emp_combined,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70
-0.235,-0.223,-0.149,-0.24100000000000002,-0.532
-0.233,-0.222,-0.14800000000000002,-0.24,-0.529
-0.23199999999999998,-0.22,-0.147,-0.23800000000000002,-0.525
-0.22899999999999998,-0.218,-0.145,-0.23600000000000002,-0.521
-0.22699999999999998,-0.21600000000000003,-0.14400000000000002,-0.233,-0.517
-0.225,-0.213,-0.14300000000000002,-0.231,-0.513
-0.222,-0.21100000000000002,-0.141,-0.228,-0.508
-0.21899999999999997,-0.20800000000000002,-0.139,-0.225,-0.503
-0.217,-0.205,-0.138,-0.221,-0.498
-0.213,-0.20199999999999999,-0.136,-0.218,-0.49200000000000005
-0.21,-0.19899999999999998,-0.134,-0.214,-0.48700000000000004
-0.207,-0.195,-0.131,-0.21100000000000002,-0.48100000000000004
-0.204,-0.192,-0.129,-0.207,-0.475
-0.2,-0.18899999999999997,-0.127,-0.203,-0.469
-0.19699999999999998,-0.185,-0.124,-0.19899999999999998,-0.46399999999999997
-0.193,-0.182,-0.122,-0.195,-0.45799999999999996
-0.19,-0.179,-0.11900000000000001,-0.192,-0.452
-0.18600000000000003,-0.175,-0.11699999999999999,-0.188,-0.446
-0.183,-0.172,-0.114,-0.184,-0.44
-0.179,-0.16899999999999998,-0.11199999999999999,-0.18,-0.434
-0.17600000000000002,-0.166,-0.109,-0.177,-0.428
-0.172,-0.163,-0.107,-0.17300000000000001,-0.42200000000000004
-0.16899999999999998,-0.159,-0.105,-0.16899999999999998,-0.41600000000000004
-0.166,-0.157,-0.102,-0.166,-0.41100000000000003
-0.163,-0.154,-0.0997,-0.162,-0.405
-0.159,-0.151,-0.0973,-0.159,-0.39899999999999997
-0.156,-0.14800000000000002,-0.0951,-0.156,-0.39399999999999996
-0.153,-0.145,-0.0929,-0.152,-0.38799999999999996
-0.15,-0.14300000000000002,-0.0907,-0.149,-0.38299999999999995
-0.14800000000000002,-0.14,-0.0887,-0.146,-0.37799999999999995
-0.145,-0.138,-0.0867,-0.14400000000000002,-0.37200000000000005
-0.142,-0.136,-0.0848,-0.141,-0.36700000000000005
-0.14,-0.133,-0.083,-0.138,-0.363
-0.13699999999999998,-0.131,-0.0813,-0.136,-0.358
-0.135,-0.129,-0.0798,-0.133,-0.354
-0.133,-0.127,-0.0783,-0.131,-0.349
-0.131,-0.125,-0.0769,-0.128,-0.345
-0.129,-0.12300000000000001,-0.0756,-0.126,-0.341
-0.127,-0.121,-0.0744,-0.124,-0.337
-0.125,-0.12,-0.0733,-0.122,-0.332
-0.12300000000000001,-0.11800000000000001,-0.0722,-0.12,-0.32799999999999996
-0.121,-0.11599999999999999,-0.0712,-0.11900000000000001,-0.324
-0.12,-0.115,-0.0702,-0.11699999999999999,-0.319
-0.11800000000000001,-0.114,-0.0693,-0.11599999999999999,-0.315
-0.11599999999999999,-0.11199999999999999,-0.0683,-0.114,-0.31
-0.115,-0.111,-0.0673,-0.113,-0.306
-0.113,-0.109,-0.0664,-0.11199999999999999,-0.301
-0.111,-0.10800000000000001,-0.0655,-0.111,-0.297
-0.11,-0.107,-0.0647,-0.11,-0.293
-0.10800000000000001,-0.106,-0.0639,-0.109,-0.28800000000000003
-0.107,-0.105,-0.0631,-0.10800000000000001,-0.284
-0.106,-0.10300000000000001,-0.0625,-0.107,-0.28
-0.105,-0.102,-0.0619,-0.107,-0.27699999999999997
-0.10400000000000001,-0.10099999999999999,-0.0613,-0.106,-0.273
-0.10300000000000001,-0.1,-0.0607,-0.106,-0.26899999999999996
-0.102,-0.0997,-0.0601,-0.105,-0.266
-0.10099999999999999,-0.0989,-0.0596,-0.105,-0.263
-0.0997,-0.0981,-0.059000000000000004,-0.105,-0.26
-0.0989,-0.0975,-0.0586,-0.10400000000000001,-0.257
-0.0981,-0.0968,-0.0581,-0.10400000000000001,-0.255
-0.0974,-0.0963,-0.0577,-0.10400000000000001,-0.252
-0.0967,-0.0958,-0.0574,-0.10300000000000001,-0.249
-0.0961,-0.0954,-0.0572,-0.10300000000000001,-0.247
-0.0955,-0.095,-0.057,-0.10300000000000001,-0.244
-0.0949,-0.0947,-0.0568,-0.10300000000000001,-0.242
-0.0944,-0.0944,-0.0567,-0.102,-0.24
-0.0939,-0.0941,-0.0566,-0.102,-0.237
-0.0935,-0.0939,-0.0565,-0.102,-0.235
-0.09300000000000001,-0.0937,-0.0565,-0.102,-0.233
-0.0927,-0.0935,-0.0565,-0.102,-0.23199999999999998
-0.0923,-0.0933,-0.0566,-0.10099999999999999,-0.23
-0.092,-0.0931,-0.0566,-0.10099999999999999,-0.228
-0.0918,-0.09300000000000001,-0.0567,-0.10099999999999999,-0.22699999999999998
-0.0915,-0.0928,-0.0568,-0.10099999999999999,-0.226
-0.0913,-0.0926,-0.057,-0.10099999999999999,-0.225
-0.0912,-0.0924,-0.0572,-0.10099999999999999,-0.22399999999999998
