gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces
-0.16,-0.0071400000000000005,0.519,-0.29600000000000004,-0.289
-0.157,-0.0071400000000000005,0.527,-0.293,-0.287
-0.153,-0.0042899999999999995,0.557,-0.289,-0.287
-0.15,-0.00286,0.583,-0.28600000000000003,-0.287
-0.147,-0.00143,0.597,-0.28300000000000003,-0.287
-0.14400000000000002,0.0,0.601,-0.28,-0.289
-0.14300000000000002,0.00571,0.594,-0.28,-0.29
-0.14400000000000002,0.0114,0.581,-0.28,-0.29
-0.147,0.0071400000000000005,0.579,-0.28,-0.294
-0.147,0.00571,0.574,-0.27899999999999997,-0.297
-0.147,0.0042899999999999995,0.573,-0.27699999999999997,-0.297
-0.147,0.0042899999999999995,0.58,-0.27399999999999997,-0.297
-0.15,-2.66e-10,0.5760000000000001,-0.27399999999999997,-0.297
-0.153,-0.01,0.5660000000000001,-0.27399999999999997,-0.299
-0.153,-0.0186,0.56,-0.273,-0.297
-0.149,-0.0157,0.564,-0.271,-0.294
-0.14400000000000002,-0.0143,0.5589999999999999,-0.271,-0.293
-0.13699999999999998,-0.0071400000000000005,0.5539999999999999,-0.267,-0.294
-0.124,0.0071400000000000005,0.573,-0.26,-0.299
-0.114,0.0271,0.614,-0.263,-0.32899999999999996
-0.147,0.00571,0.6,-0.27399999999999997,-0.321
-0.131,-0.00143,0.57,-0.261,-0.309
-0.124,0.00857,0.5760000000000001,-0.259,-0.306
-0.129,0.0071400000000000005,0.5770000000000001,-0.257,-0.309
-0.136,2.66e-10,0.574,-0.261,-0.309
-0.149,-0.0143,0.5489999999999999,-0.27,-0.307
-0.15,-0.0157,0.529,-0.27399999999999997,-0.309
-0.15,-0.0143,0.529,-0.276,-0.309
-0.15,-0.0129,0.541,-0.27699999999999997,-0.313
-0.15,-0.0129,0.5489999999999999,-0.27899999999999997,-0.309
-0.149,-0.0129,0.56,-0.281,-0.307
-0.149,-0.0129,0.5660000000000001,-0.28300000000000003,-0.307
-0.149,-0.0143,0.57,-0.284,-0.306
-0.147,-0.0129,0.586,-0.281,-0.306
-0.147,-0.0143,0.603,-0.281,-0.307
-0.147,-0.0157,0.597,-0.28300000000000003,-0.309
-0.149,-0.0186,0.594,-0.284,-0.309
-0.15,-0.0214,0.5870000000000001,-0.28600000000000003,-0.309
-0.151,-0.0243,0.574,-0.287,-0.309
-0.153,-0.0271,0.564,-0.287,-0.309
-0.153,-0.0286,0.5660000000000001,-0.289,-0.309
-0.153,-0.03,0.57,-0.289,-0.309
-0.153,-0.0314,0.5770000000000001,-0.289,-0.309
-0.153,-0.0314,0.573,-0.289,-0.309
-0.154,-0.0329,0.5710000000000001,-0.289,-0.309
-0.154,-0.0329,0.584,-0.287,-0.31
-0.153,-0.0329,0.586,-0.287,-0.311
-0.149,-0.03,0.5870000000000001,-0.284,-0.311
-0.146,-0.0271,0.5760000000000001,-0.28300000000000003,-0.313
-0.14400000000000002,-0.0257,0.557,-0.28300000000000003,-0.314
-0.141,-0.0214,0.556,-0.281,-0.314
-0.14,-0.0214,0.5489999999999999,-0.28300000000000003,-0.316
-0.13699999999999998,-0.02,0.556,-0.281,-0.314
-0.13699999999999998,-0.02,0.564,-0.28,-0.313
-0.139,-0.0243,0.5660000000000001,-0.281,-0.313
-0.139,-0.0257,0.58,-0.281,-0.311
-0.13699999999999998,-0.0257,0.6,-0.27899999999999997,-0.31
-0.14,-0.0314,0.6,-0.28,-0.31
-0.14,-0.0314,0.613,-0.27699999999999997,-0.309
-0.14300000000000002,-0.0343,0.599,-0.28,-0.309
-0.14400000000000002,-0.0357,0.586,-0.281,-0.309
-0.146,-0.0357,0.58,-0.281,-0.309
-0.147,-0.0371,0.563,-0.28300000000000003,-0.31
-0.149,-0.0386,0.537,-0.28600000000000003,-0.311
-0.15,-0.04,0.53,-0.28600000000000003,-0.311
-0.151,-0.0414,0.52,-0.287,-0.309
-0.153,-0.0429,0.51,-0.287,-0.307
-0.153,-0.0443,0.51,-0.287,-0.306
-0.153,-0.0457,0.503,-0.287,-0.304
-0.151,-0.0457,0.501,-0.287,-0.301
-0.151,-0.0457,0.504,-0.28600000000000003,-0.299
-0.153,-0.0471,0.49,-0.287,-0.29600000000000004
-0.154,-0.0471,0.47100000000000003,-0.289,-0.297
-0.154,-0.0471,0.469,-0.289,-0.29600000000000004
-0.157,-0.05,0.451,-0.29,-0.29600000000000004
-0.159,-0.0529,0.436,-0.29100000000000004,-0.294
-0.159,-0.0557,0.41100000000000003,-0.294,-0.29600000000000004
-0.157,-0.0571,0.424,-0.293,-0.29600000000000004
-0.156,-0.0571,0.42100000000000004,-0.29100000000000004,-0.294
-0.151,-0.0543,0.42,-0.289,-0.293
-0.15,-0.0543,0.41,-0.289,-0.293
-0.14300000000000002,-0.0471,0.41600000000000004,-0.28300000000000003,-0.29100000000000004
-0.13699999999999998,-0.0386,0.441,-0.276,-0.293
-0.134,-0.0329,0.48700000000000004,-0.26899999999999996,-0.299
-0.131,-0.0286,0.519,-0.271,-0.303
-0.133,-0.0286,0.583,-0.28300000000000003,-0.354
-0.13699999999999998,-0.0329,0.501,-0.271,-0.304
-0.141,-0.0357,0.486,-0.271,-0.304
-0.149,-0.0429,0.46,-0.27699999999999997,-0.304
-0.154,-0.0514,0.431,-0.284,-0.3
-0.156,-0.0571,0.387,-0.29,-0.293
-0.16,-0.0614,0.326,-0.29100000000000004,-0.289
-0.161,-0.0614,0.326,-0.293,-0.284
-0.159,-0.0614,0.34299999999999997,-0.294,-0.27899999999999997
-0.157,-0.0629,0.36,-0.294,-0.276
-0.157,-0.0643,0.37,-0.294,-0.273
-0.154,-0.0629,0.37,-0.294,-0.271
-0.15,-0.06,0.387,-0.293,-0.27
-0.147,-0.06,0.39899999999999997,-0.29100000000000004,-0.26899999999999996
-0.147,-0.0614,0.391,-0.29100000000000004,-0.27
-0.149,-0.0629,0.38,-0.294,-0.27
-0.149,-0.0614,0.36700000000000005,-0.29600000000000004,-0.26899999999999996
-0.149,-0.0614,0.354,-0.297,-0.267
-0.15,-0.0629,0.34,-0.299,-0.266
-0.153,-0.0643,0.326,-0.301,-0.264
-0.154,-0.0657,0.31,-0.303,-0.263
-0.156,-0.0657,0.29100000000000004,-0.306,-0.261
-0.157,-0.0671,0.267,-0.307,-0.26
-0.156,-0.0643,0.253,-0.307,-0.26
-0.151,-0.0571,0.247,-0.304,-0.257
-0.149,-0.0529,0.237,-0.301,-0.256
-0.146,-0.05,0.223,-0.297,-0.257
-0.14400000000000002,-0.0471,0.209,-0.29600000000000004,-0.259
-0.141,-0.0429,0.213,-0.29100000000000004,-0.259
