revenue_all,revenue_ss40,revenue_ss60,revenue_ss65,revenue_ss70
-0.39,-0.221,-0.20800000000000002,-0.539,-0.63
-0.402,-0.24100000000000002,-0.213,-0.541,-0.64
-0.395,-0.22899999999999998,-0.207,-0.541,-0.636
-0.384,-0.21600000000000003,-0.195,-0.5329999999999999,-0.63
-0.369,-0.191,-0.18899999999999997,-0.525,-0.621
-0.355,-0.153,-0.191,-0.529,-0.612
-0.35600000000000004,-0.151,-0.19399999999999998,-0.529,-0.605
-0.344,-0.152,-0.17600000000000002,-0.508,-0.596
-0.32799999999999996,-0.13699999999999998,-0.163,-0.484,-0.5870000000000001
-0.319,-0.122,-0.159,-0.46299999999999997,-0.585
-0.309,-0.105,-0.157,-0.447,-0.579
-0.305,-0.0984,-0.158,-0.43700000000000006,-0.5770000000000001
-0.302,-0.10099999999999999,-0.157,-0.429,-0.5720000000000001
-0.298,-0.11,-0.16,-0.43200000000000005,-0.5539999999999999
-0.304,-0.11599999999999999,-0.168,-0.429,-0.5589999999999999
-0.311,-0.11800000000000001,-0.161,-0.42200000000000004,-0.578
-0.305,-0.11599999999999999,-0.156,-0.41,-0.574
-0.3,-0.11599999999999999,-0.15,-0.397,-0.5720000000000001
-0.292,-0.114,-0.147,-0.38,-0.564
-0.287,-0.111,-0.142,-0.377,-0.556
-0.28,-0.0882,-0.13699999999999998,-0.371,-0.564
-0.265,-0.0577,-0.127,-0.35600000000000004,-0.5579999999999999
-0.253,-0.0488,-0.132,-0.345,-0.5379999999999999
-0.248,-0.0418,-0.13,-0.33,-0.532
-0.23600000000000002,-0.0271,-0.127,-0.315,-0.522
-0.228,-0.009609999999999999,-0.131,-0.316,-0.512
-0.226,-0.00634,-0.13,-0.314,-0.508
-0.226,-0.0127,-0.12300000000000001,-0.314,-0.501
-0.237,-0.0351,-0.107,-0.29,-0.502
-0.225,-0.0331,-0.113,-0.29600000000000004,-0.503
-0.226,-0.0409,-0.126,-0.305,-0.5
-0.226,-0.0516,-0.131,-0.306,-0.501
-0.222,-0.0642,-0.128,-0.298,-0.49700000000000005
-0.228,-0.0788,-0.139,-0.306,-0.498
-0.239,-0.08800000000000001,-0.16,-0.32,-0.5
-0.231,-0.078,-0.163,-0.315,-0.49200000000000005
-0.22699999999999998,-0.0592,-0.168,-0.325,-0.49200000000000005
-0.243,-0.0753,-0.18100000000000002,-0.33799999999999997,-0.5
-0.256,-0.096,-0.18899999999999997,-0.335,-0.51
-0.26899999999999996,-0.11199999999999999,-0.19399999999999998,-0.337,-0.525
-0.271,-0.111,-0.192,-0.33299999999999996,-0.528
-0.262,-0.102,-0.182,-0.322,-0.526
-0.264,-0.10400000000000001,-0.184,-0.32,-0.53
-0.27,-0.11800000000000001,-0.191,-0.316,-0.528
-0.266,-0.113,-0.188,-0.305,-0.526
-0.259,-0.102,-0.174,-0.299,-0.524
-0.264,-0.106,-0.17800000000000002,-0.304,-0.522
-0.262,-0.107,-0.17600000000000002,-0.298,-0.518
-0.262,-0.106,-0.18,-0.3,-0.515
-0.26,-0.105,-0.171,-0.287,-0.514
-0.259,-0.10099999999999999,-0.16399999999999998,-0.27899999999999997,-0.518
-0.25,-0.0856,-0.156,-0.271,-0.511
-0.245,-0.0735,-0.165,-0.265,-0.506
-0.235,-0.0518,-0.162,-0.26,-0.498
-0.22699999999999998,-0.0323,-0.161,-0.257,-0.495
-0.21899999999999997,-0.023,-0.152,-0.253,-0.485
-0.222,-0.0181,-0.16699999999999998,-0.264,-0.485
-0.223,-0.0205,-0.17800000000000002,-0.265,-0.47700000000000004
-0.22399999999999998,-0.0259,-0.177,-0.263,-0.47700000000000004
-0.225,-0.0307,-0.171,-0.26,-0.47700000000000004
-0.228,-0.0432,-0.171,-0.254,-0.479
-0.23399999999999999,-0.0585,-0.171,-0.257,-0.48100000000000004
-0.244,-0.0717,-0.188,-0.265,-0.49
-0.242,-0.0735,-0.183,-0.263,-0.489
-0.23399999999999999,-0.067,-0.166,-0.252,-0.488
-0.239,-0.0732,-0.16399999999999998,-0.256,-0.486
-0.22699999999999998,-0.0543,-0.162,-0.254,-0.478
-0.267,-0.0901,-0.235,-0.307,-0.48700000000000004
-0.196,-0.0495,-0.0471,-0.132,-0.498
-0.2,-0.0395,-0.094,-0.2,-0.47600000000000003
-0.218,-0.0412,-0.156,-0.251,-0.47
-0.222,-0.0475,-0.159,-0.258,-0.469
-0.225,-0.053,-0.17300000000000001,-0.264,-0.475
-0.24100000000000002,-0.0802,-0.17300000000000001,-0.276,-0.485
-0.244,-0.0881,-0.168,-0.282,-0.488
-0.24600000000000002,-0.0919,-0.171,-0.28300000000000003,-0.49
-0.239,-0.0846,-0.161,-0.275,-0.488
-0.25,-0.0999,-0.159,-0.28300000000000003,-0.49700000000000005
-0.254,-0.10300000000000001,-0.159,-0.29,-0.502
-0.251,-0.10300000000000001,-0.142,-0.281,-0.501
-0.251,-0.102,-0.141,-0.276,-0.502
-0.25,-0.0961,-0.147,-0.273,-0.502
-0.248,-0.0948,-0.142,-0.27,-0.501
-0.248,-0.0946,-0.13699999999999998,-0.267,-0.503
-0.248,-0.0933,-0.141,-0.263,-0.503
-0.253,-0.0993,-0.157,-0.263,-0.503
-0.253,-0.0974,-0.16,-0.262,-0.503
-0.24100000000000002,-0.0816,-0.158,-0.248,-0.495
-0.23800000000000002,-0.0781,-0.158,-0.24100000000000002,-0.49200000000000005
-0.239,-0.0834,-0.161,-0.242,-0.49200000000000005
-0.239,-0.0836,-0.157,-0.243,-0.491
-0.24,-0.0856,-0.17,-0.23800000000000002,-0.49200000000000005
-0.23800000000000002,-0.0847,-0.16899999999999998,-0.23600000000000002,-0.491
-0.239,-0.0863,-0.16699999999999998,-0.237,-0.49
-0.249,-0.102,-0.16699999999999998,-0.251,-0.496
-0.248,-0.109,-0.16699999999999998,-0.256,-0.494
-0.26,-0.11800000000000001,-0.17800000000000002,-0.275,-0.49200000000000005
-0.266,-0.11800000000000001,-0.17800000000000002,-0.282,-0.5
-0.263,-0.128,-0.16699999999999998,-0.267,-0.503
-0.271,-0.149,-0.16399999999999998,-0.262,-0.511
-0.28600000000000003,-0.16899999999999998,-0.175,-0.271,-0.522
-0.294,-0.179,-0.182,-0.272,-0.531
-0.302,-0.185,-0.184,-0.27,-0.544
-0.29,-0.17600000000000002,-0.165,-0.244,-0.5529999999999999
-0.287,-0.182,-0.162,-0.24,-0.5529999999999999
-0.294,-0.185,-0.165,-0.252,-0.5539999999999999
-0.294,-0.179,-0.16699999999999998,-0.254,-0.552
-0.287,-0.168,-0.163,-0.245,-0.5489999999999999
-0.287,-0.16899999999999998,-0.166,-0.242,-0.5479999999999999
-0.287,-0.17300000000000001,-0.166,-0.237,-0.546
-0.29600000000000004,-0.179,-0.187,-0.255,-0.5489999999999999
-0.297,-0.17800000000000002,-0.19,-0.262,-0.5489999999999999
-0.297,-0.18,-0.18899999999999997,-0.255,-0.5489999999999999
-0.294,-0.17800000000000002,-0.187,-0.249,-0.545
-0.294,-0.179,-0.187,-0.249,-0.5429999999999999
-0.292,-0.177,-0.183,-0.242,-0.5429999999999999
-0.29100000000000004,-0.17600000000000002,-0.182,-0.243,-0.541
-0.285,-0.171,-0.166,-0.23600000000000002,-0.539
-0.28300000000000003,-0.16899999999999998,-0.16699999999999998,-0.23199999999999998,-0.537
-0.285,-0.16399999999999998,-0.174,-0.244,-0.539
-0.28600000000000003,-0.162,-0.17600000000000002,-0.25,-0.541
-0.284,-0.16,-0.17,-0.254,-0.539
-0.284,-0.159,-0.17300000000000001,-0.263,-0.5379999999999999
-0.285,-0.16,-0.175,-0.263,-0.5379999999999999
-0.28300000000000003,-0.155,-0.177,-0.257,-0.5379999999999999
-0.29100000000000004,-0.16699999999999998,-0.18600000000000003,-0.255,-0.539
-0.289,-0.174,-0.179,-0.244,-0.54
-0.281,-0.17,-0.156,-0.23199999999999998,-0.537
-0.276,-0.15,-0.155,-0.239,-0.534
-0.271,-0.14400000000000002,-0.152,-0.245,-0.53
-0.26,-0.125,-0.157,-0.253,-0.514
-0.259,-0.124,-0.17,-0.262,-0.501
-0.244,-0.0974,-0.17300000000000001,-0.267,-0.485
-0.267,-0.14800000000000002,-0.132,-0.233,-0.507
-0.23600000000000002,-0.0684,-0.179,-0.27399999999999997,-0.47600000000000003
-0.243,-0.0891,-0.18899999999999997,-0.26,-0.478
-0.235,-0.0838,-0.16399999999999998,-0.23199999999999998,-0.486
-0.24100000000000002,-0.0966,-0.146,-0.221,-0.502
-0.242,-0.0984,-0.13699999999999998,-0.204,-0.514
-0.249,-0.11199999999999999,-0.129,-0.19699999999999998,-0.529
-0.258,-0.122,-0.133,-0.20800000000000002,-0.5329999999999999
-0.26,-0.124,-0.131,-0.215,-0.536
-0.265,-0.126,-0.14400000000000002,-0.235,-0.536
-0.266,-0.124,-0.155,-0.239,-0.532
-0.265,-0.121,-0.159,-0.237,-0.531
-0.259,-0.113,-0.149,-0.237,-0.525
-0.256,-0.109,-0.147,-0.237,-0.523
-0.256,-0.11,-0.14800000000000002,-0.23,-0.523
-0.263,-0.11199999999999999,-0.16899999999999998,-0.24100000000000002,-0.525
-0.259,-0.11199999999999999,-0.158,-0.23199999999999998,-0.524
-0.26,-0.11199999999999999,-0.165,-0.233,-0.524
-0.261,-0.114,-0.166,-0.226,-0.523
-0.264,-0.12,-0.16699999999999998,-0.23,-0.523
-0.264,-0.122,-0.162,-0.228,-0.522
-0.267,-0.12300000000000001,-0.16899999999999998,-0.24,-0.524
-0.265,-0.124,-0.162,-0.23600000000000002,-0.524
-0.266,-0.124,-0.161,-0.231,-0.525
-0.267,-0.129,-0.146,-0.23600000000000002,-0.52
-0.265,-0.132,-0.147,-0.247,-0.518
-0.266,-0.131,-0.153,-0.245,-0.514
-0.264,-0.124,-0.153,-0.243,-0.513
-0.257,-0.12300000000000001,-0.138,-0.228,-0.509
-0.257,-0.126,-0.136,-0.225,-0.506
-0.258,-0.127,-0.138,-0.235,-0.507
-0.259,-0.128,-0.149,-0.235,-0.513
-0.262,-0.127,-0.146,-0.23,-0.511
-0.263,-0.13699999999999998,-0.145,-0.23,-0.515
-0.264,-0.14400000000000002,-0.14400000000000002,-0.22699999999999998,-0.514
-0.26899999999999996,-0.14300000000000002,-0.146,-0.225,-0.518
-0.265,-0.142,-0.146,-0.228,-0.52
-0.26899999999999996,-0.14300000000000002,-0.161,-0.237,-0.521
-0.262,-0.136,-0.149,-0.218,-0.519
-0.265,-0.136,-0.155,-0.222,-0.524
-0.259,-0.129,-0.149,-0.212,-0.522
-0.243,-0.111,-0.142,-0.20800000000000002,-0.502
-0.252,-0.11800000000000001,-0.158,-0.228,-0.501
-0.254,-0.121,-0.159,-0.22,-0.501
-0.251,-0.11699999999999999,-0.155,-0.21100000000000002,-0.5
-0.253,-0.122,-0.147,-0.21100000000000002,-0.502
-0.252,-0.122,-0.142,-0.20800000000000002,-0.503
-0.253,-0.122,-0.138,-0.20800000000000002,-0.508
-0.267,-0.138,-0.139,-0.213,-0.531
-0.27,-0.139,-0.142,-0.213,-0.535
-0.265,-0.131,-0.146,-0.222,-0.53
-0.267,-0.133,-0.149,-0.221,-0.531
-0.267,-0.133,-0.147,-0.22399999999999998,-0.5329999999999999
-0.258,-0.127,-0.136,-0.21600000000000003,-0.535
-0.261,-0.131,-0.139,-0.21600000000000003,-0.5429999999999999
-0.28300000000000003,-0.145,-0.156,-0.24100000000000002,-0.5479999999999999
-0.278,-0.152,-0.133,-0.226,-0.546
-0.27699999999999997,-0.16,-0.134,-0.223,-0.5479999999999999
-0.289,-0.175,-0.142,-0.237,-0.556
-0.29600000000000004,-0.187,-0.149,-0.23800000000000002,-0.562
-0.309,-0.20600000000000002,-0.151,-0.245,-0.5710000000000001
-0.313,-0.213,-0.15,-0.252,-0.5710000000000001
-0.3,-0.212,-0.14,-0.23600000000000002,-0.575
-0.313,-0.218,-0.163,-0.26,-0.5820000000000001
