merchants_all,merchants_ss40,merchants_ss60,merchants_ss65,merchants_ss70
-0.239,-0.18899999999999997,-0.0945,-0.23600000000000002,-0.36700000000000005
-0.24,-0.18899999999999997,-0.1,-0.235,-0.36700000000000005
-0.24100000000000002,-0.188,-0.109,-0.23399999999999999,-0.36700000000000005
-0.242,-0.188,-0.114,-0.23399999999999999,-0.368
-0.242,-0.188,-0.11599999999999999,-0.23199999999999998,-0.368
-0.243,-0.188,-0.129,-0.23199999999999998,-0.369
-0.245,-0.188,-0.145,-0.23199999999999998,-0.369
-0.245,-0.188,-0.161,-0.23199999999999998,-0.369
-0.245,-0.187,-0.163,-0.231,-0.369
-0.244,-0.187,-0.163,-0.23,-0.369
-0.244,-0.187,-0.163,-0.228,-0.369
-0.244,-0.187,-0.162,-0.22699999999999998,-0.369
-0.245,-0.188,-0.16399999999999998,-0.228,-0.369
-0.245,-0.188,-0.16699999999999998,-0.22899999999999998,-0.37
-0.244,-0.188,-0.16699999999999998,-0.228,-0.37
-0.244,-0.188,-0.16899999999999998,-0.22899999999999998,-0.37
-0.244,-0.18899999999999997,-0.171,-0.231,-0.37
-0.245,-0.18899999999999997,-0.171,-0.231,-0.369
-0.248,-0.191,-0.172,-0.231,-0.375
-0.25,-0.19399999999999998,-0.17,-0.231,-0.38299999999999995
-0.255,-0.2,-0.17,-0.23199999999999998,-0.39399999999999996
-0.267,-0.21,-0.18,-0.242,-0.40700000000000003
-0.272,-0.214,-0.182,-0.243,-0.418
-0.276,-0.218,-0.182,-0.242,-0.42700000000000005
-0.271,-0.21100000000000002,-0.175,-0.235,-0.43200000000000005
-0.27,-0.21,-0.172,-0.235,-0.433
-0.273,-0.21100000000000002,-0.177,-0.237,-0.434
-0.272,-0.20800000000000002,-0.17800000000000002,-0.23600000000000002,-0.433
-0.265,-0.20199999999999999,-0.171,-0.228,-0.429
-0.265,-0.20199999999999999,-0.17,-0.22699999999999998,-0.428
-0.265,-0.201,-0.171,-0.22699999999999998,-0.428
-0.273,-0.21,-0.18100000000000002,-0.23399999999999999,-0.433
-0.273,-0.21100000000000002,-0.183,-0.23399999999999999,-0.433
-0.273,-0.21100000000000002,-0.18100000000000002,-0.233,-0.433
-0.271,-0.21,-0.18100000000000002,-0.23199999999999998,-0.43
-0.271,-0.209,-0.18,-0.23199999999999998,-0.43
-0.271,-0.20800000000000002,-0.18,-0.23199999999999998,-0.429
-0.27,-0.20800000000000002,-0.18,-0.23,-0.428
-0.27,-0.207,-0.17800000000000002,-0.231,-0.428
-0.26899999999999996,-0.20600000000000002,-0.17800000000000002,-0.231,-0.428
-0.26899999999999996,-0.20600000000000002,-0.182,-0.23,-0.42700000000000005
-0.271,-0.207,-0.183,-0.23,-0.429
-0.271,-0.20800000000000002,-0.184,-0.23,-0.429
-0.272,-0.209,-0.18600000000000003,-0.23,-0.43
-0.271,-0.209,-0.185,-0.22699999999999998,-0.43
-0.271,-0.209,-0.185,-0.226,-0.429
-0.271,-0.209,-0.185,-0.223,-0.429
-0.266,-0.204,-0.179,-0.21600000000000003,-0.428
-0.262,-0.20199999999999999,-0.172,-0.214,-0.42700000000000005
-0.26,-0.2,-0.168,-0.21100000000000002,-0.424
-0.255,-0.195,-0.161,-0.205,-0.42100000000000004
-0.24600000000000002,-0.185,-0.154,-0.20199999999999999,-0.414
-0.248,-0.187,-0.159,-0.20600000000000002,-0.413
-0.249,-0.18600000000000003,-0.166,-0.214,-0.41200000000000003
-0.261,-0.2,-0.154,-0.20800000000000002,-0.42200000000000004
-0.256,-0.193,-0.175,-0.222,-0.41600000000000004
-0.258,-0.19399999999999998,-0.18,-0.222,-0.418
-0.26,-0.19699999999999998,-0.17800000000000002,-0.22399999999999998,-0.42100000000000004
-0.266,-0.203,-0.177,-0.223,-0.426
-0.265,-0.201,-0.17300000000000001,-0.21899999999999997,-0.42700000000000005
-0.266,-0.20199999999999999,-0.17,-0.217,-0.428
-0.268,-0.203,-0.16699999999999998,-0.215,-0.428
-0.268,-0.20199999999999999,-0.166,-0.21899999999999997,-0.426
-0.27,-0.204,-0.171,-0.221,-0.426
-0.272,-0.205,-0.175,-0.22399999999999998,-0.42700000000000005
-0.275,-0.20800000000000002,-0.18,-0.228,-0.429
-0.27399999999999997,-0.207,-0.17800000000000002,-0.22699999999999998,-0.428
-0.273,-0.207,-0.175,-0.22399999999999998,-0.428
-0.273,-0.207,-0.17800000000000002,-0.22399999999999998,-0.42700000000000005
-0.27399999999999997,-0.20800000000000002,-0.183,-0.222,-0.428
-0.273,-0.207,-0.179,-0.221,-0.42700000000000005
-0.272,-0.20600000000000002,-0.179,-0.221,-0.426
-0.272,-0.205,-0.18,-0.221,-0.426
-0.272,-0.205,-0.18,-0.221,-0.425
-0.272,-0.205,-0.179,-0.223,-0.425
-0.273,-0.20600000000000002,-0.18100000000000002,-0.226,-0.425
-0.272,-0.20600000000000002,-0.179,-0.225,-0.425
-0.272,-0.20600000000000002,-0.17800000000000002,-0.223,-0.424
-0.27,-0.205,-0.17300000000000001,-0.22,-0.423
-0.26899999999999996,-0.205,-0.171,-0.21899999999999997,-0.42200000000000004
-0.267,-0.20199999999999999,-0.172,-0.21600000000000003,-0.418
-0.262,-0.195,-0.16899999999999998,-0.21100000000000002,-0.41600000000000004
-0.26,-0.19399999999999998,-0.162,-0.20800000000000002,-0.415
-0.259,-0.19399999999999998,-0.159,-0.20800000000000002,-0.414
-0.26,-0.19399999999999998,-0.161,-0.21100000000000002,-0.413
-0.261,-0.195,-0.165,-0.213,-0.413
-0.262,-0.19399999999999998,-0.166,-0.21100000000000002,-0.413
-0.264,-0.198,-0.168,-0.212,-0.41700000000000004
-0.267,-0.203,-0.17300000000000001,-0.215,-0.418
-0.267,-0.20199999999999999,-0.174,-0.21,-0.41700000000000004
-0.266,-0.20199999999999999,-0.171,-0.213,-0.418
-0.267,-0.20199999999999999,-0.171,-0.215,-0.419
-0.266,-0.20199999999999999,-0.16399999999999998,-0.212,-0.418
-0.266,-0.203,-0.16399999999999998,-0.214,-0.418
-0.263,-0.201,-0.158,-0.213,-0.41600000000000004
-0.254,-0.192,-0.147,-0.209,-0.401
-0.257,-0.19399999999999998,-0.154,-0.214,-0.401
-0.262,-0.19899999999999998,-0.166,-0.21899999999999997,-0.40399999999999997
-0.26,-0.19699999999999998,-0.16899999999999998,-0.21600000000000003,-0.40299999999999997
-0.259,-0.195,-0.172,-0.214,-0.40299999999999997
-0.259,-0.19399999999999998,-0.171,-0.214,-0.40299999999999997
-0.26,-0.195,-0.17,-0.215,-0.405
-0.26899999999999996,-0.203,-0.172,-0.21600000000000003,-0.42200000000000004
-0.27,-0.204,-0.174,-0.217,-0.424
-0.265,-0.198,-0.171,-0.214,-0.418
-0.267,-0.2,-0.17300000000000001,-0.21600000000000003,-0.42
-0.27,-0.204,-0.174,-0.22,-0.42200000000000004
-0.268,-0.204,-0.16899999999999998,-0.21899999999999997,-0.42200000000000004
-0.266,-0.201,-0.168,-0.217,-0.42100000000000004
-0.27,-0.20600000000000002,-0.171,-0.217,-0.423
-0.271,-0.20800000000000002,-0.168,-0.21899999999999997,-0.426
-0.275,-0.213,-0.168,-0.223,-0.43200000000000005
-0.27899999999999997,-0.217,-0.172,-0.228,-0.43799999999999994
-0.281,-0.218,-0.17,-0.22899999999999998,-0.442
-0.28300000000000003,-0.22,-0.171,-0.22899999999999998,-0.447
-0.287,-0.22399999999999998,-0.175,-0.23199999999999998,-0.452
-0.285,-0.22,-0.17600000000000002,-0.23600000000000002,-0.45399999999999996
-0.287,-0.221,-0.17800000000000002,-0.23600000000000002,-0.455
